PS_i	PS_j	Sim_HPO
PS121210	PS604233	4.39403
PS142690	PS266600	3.85666
PS192500	PS609620	3.51135
PS306400	PS308230	3.49641
PS266600	PS306400	3.47284
PS142690	PS306400	3.20615
PS601144	PS609620	3.11363
PS120435	PS175100	3.09751
PS220400	PS609620	3.08367
PS133100	PS187300	3.08242
PS120435	PS151623	3.03727
PS608583	PS609620	3.01271
PS151660	PS608594	2.99113
PS308230	PS308240	2.97331
PS306400	PS308240	2.97015
PS158350	PS191100	2.95826
PS113900	PS608567	2.94222
PS306400	PS601495	2.91512
PS308230	PS607594	2.91374
PS151623	PS175100	2.91309
PS113900	PS609620	2.90644
PS256300	PS603278	2.89667
PS122000	PS136800	2.89413
PS193100	PS612286	2.87165
PS308230	PS601495	2.86475
PS192500	PS601144	2.86406
PS306400	PS607594	2.84838
PS604772	PS609620	2.84817
PS185800	PS186500	2.73357
PS268310	PS601390	2.71133
PS114580	PS306400	2.69353
PS121200	PS121210	2.68329
PS256300	PS300009	2.67405
PS192500	PS220400	2.661
PS151660	PS248370	2.6575
PS300009	PS603278	2.64588
PS136520	PS153840	2.63189
PS608567	PS609620	2.61524
PS107970	PS609620	2.61095
PS162000	PS603278	2.59938
PS131100	PS168000	2.59668
PS201000	PS268310	2.57717
PS203100	PS203300	2.56128
PS121200	PS604233	2.55257
PS134600	PS612286	2.54423
PS114580	PS142690	2.53635
PS601495	PS607594	2.53177
PS259900	PS300009	2.52628
PS113900	PS192500	2.51091
PS142690	PS177900	2.51073
PS300009	PS612286	2.50933
PS168000	PS191100	2.50385
PS145980	PS612286	2.49989
PS162000	PS256100	2.49252
PS604772	PS608583	2.49129
PS187300	PS208000	2.48828
PS107970	PS192500	2.47935
PS107970	PS608583	2.47757
PS202700	PS306400	2.47332
PS601144	PS608583	2.46562
PS133780	PS153840	2.46513
PS131100	PS158350	2.46241
PS244400	PS601495	2.4619
PS193000	PS236730	2.45834
PS608567	PS608583	2.45681
PS305100	PS605389	2.45145
PS187300	PS607086	2.45055
PS145980	PS300009	2.43727
PS162000	PS300009	2.43706
PS108800	PS614429	2.43184
PS306400	PS607765	2.42731
PS113900	PS608583	2.41598
PS122470	PS268310	2.41412
PS237450	PS607765	2.40833
PS208000	PS607086	2.40827
PS162000	PS256300	2.40749
PS115200	PS604169	2.4033
PS105550	PS213600	2.38459
PS187300	PS609192	2.38426
PS256100	PS603278	2.37974
PS308240	PS607765	2.37668
PS108720	PS607326	2.36114
PS242860	PS308230	2.36084
PS192500	PS608583	2.35381
PS601144	PS608567	2.34929
PS113900	PS604772	2.34729
PS244400	PS607594	2.34584
PS187300	PS231200	2.33785
PS132400	PS607326	2.33694
PS218330	PS268310	2.33621
PS224690	PS601390	2.33619
PS168600	PS213600	2.32364
PS113900	PS601144	2.31543
PS202700	PS308230	2.31281
PS277600	PS609192	2.29944
PS178600	PS265450	2.29936
PS134600	PS300009	2.29507
PS107970	PS604169	2.2926
PS131100	PS191100	2.29179
PS266600	PS308230	2.28698
PS192500	PS604772	2.28278
PS308240	PS601495	2.28146
PS107970	PS601144	2.28122
PS277300	PS607326	2.2714
PS259900	PS603278	2.26984
PS266600	PS601495	2.2665
PS114580	PS266600	2.26585
PS105400	PS105550	2.26469
PS192500	PS608567	2.26028
PS220400	PS601144	2.25928
PS256100	PS300009	2.24354
PS242860	PS607594	2.24292
PS256100	PS256300	2.241
PS192600	PS604169	2.23821
PS133100	PS188050	2.23438
PS253600	PS609308	2.23171
PS151100	PS163950	2.22914
PS105550	PS234200	2.22096
PS134600	PS193100	2.21796
PS105250	PS142690	2.21785
PS224690	PS268310	2.21682
PS256100	PS266900	2.21561
PS306955	PS608808	2.21548
PS300009	PS601678	2.2136
PS108720	PS601390	2.20551
PS108720	PS200600	2.20184
PS200600	PS228520	2.2016
PS300009	PS602014	2.20079
PS200600	PS607326	2.19182
PS108720	PS273750	2.18987
PS168600	PS234200	2.18242
PS248370	PS608594	2.18037
PS168000	PS610489	2.17977
PS167200	PS191100	2.17964
PS145980	PS602014	2.17921
PS159000	PS253600	2.17897
PS211400	PS306400	2.17801
PS108600	PS164400	2.17516
PS306400	PS614372	2.17465
PS108720	PS228520	2.17458
PS215100	PS251450	2.17318
PS120435	PS266600	2.17038
PS105550	PS168600	2.16822
PS600118	PS601390	2.16228
PS122470	PS601390	2.15595
PS211400	PS244400	2.15387
PS108800	PS606215	2.15318
PS201000	PS601390	2.15285
PS256300	PS259900	2.14979
PS122470	PS239300	2.14967
PS133780	PS136520	2.14588
PS239300	PS268310	2.14461
PS108720	PS268310	2.14362
PS202700	PS308240	2.13414
PS201000	PS609192	2.13282
PS268310	PS277600	2.13168
PS187300	PS265450	2.13115
PS115150	PS151100	2.12876
PS607432	PS614039	2.12829
PS606215	PS614429	2.12823
PS107970	PS113900	2.12407
PS113900	PS220400	2.12257
PS107970	PS192600	2.11984
PS107970	PS608567	2.11908
PS268310	PS609192	2.1183
PS107970	PS604772	2.11814
PS108720	PS215100	2.11788
PS201000	PS277600	2.11654
PS604169	PS614429	2.11516
PS257920	PS601390	2.11454
PS604169	PS609620	2.10986
PS211400	PS607594	2.10639
PS218330	PS601390	2.10197
PS248370	PS268310	2.1013
PS180849	PS268310	2.09611
PS602014	PS612286	2.0932
PS220400	PS604772	2.09125
PS268310	PS600118	2.08952
PS604169	PS608583	2.08884
PS187300	PS600630	2.0864
PS224120	PS607765	2.08514
PS151100	PS268310	2.08387
PS133780	PS187300	2.08017
PS122470	PS147920	2.07956
PS177900	PS306400	2.07764
PS105550	PS157640	2.07692
PS159000	PS609308	2.0757
PS153840	PS268000	2.07392
PS210600	PS268310	2.0724
PS156610	PS243310	2.07232
PS159000	PS601419	2.07109
PS259900	PS612286	2.06136
PS142690	PS308230	2.06102
PS132400	PS251450	2.05738
PS252350	PS607086	2.05737
PS228520	PS273750	2.05574
PS162000	PS259900	2.0557
PS142690	PS601495	2.05518
PS193500	PS203300	2.05328
PS224120	PS308240	2.05242
PS133780	PS165500	2.05168
PS224120	PS306400	2.05013
PS122470	PS201000	2.04897
PS231050	PS277600	2.04879
PS115150	PS147920	2.04824
PS601390	PS614080	2.04766
PS114580	PS308230	2.04684
PS145980	PS601678	2.04298
PS244400	PS308230	2.04184
PS177900	PS266600	2.04058
PS108720	PS186500	2.03686
PS211400	PS308230	2.03684
PS304500	PS609129	2.03541
PS100300	PS187300	2.03471
PS147950	PS233300	2.03378
PS308240	PS607594	2.03188
PS168000	PS175100	2.0317
PS208500	PS224690	2.03104
