PS_i	PS_j	Sim_BP	Sim_CC	Sim_MF	Sim_GO_max
PS601764	PS615040	3.03318	1.93151	5.40043	5.40043
PS211530	PS249270	3.73152	1.27564	4.592	4.592
PS108300	PS228520	2.88371	4.51434	2.7476	4.51434
PS220400	PS609620	4.48574	1.52185	3.65722	4.48574
PS113900	PS608567	4.35625	1.16823	2.59504	4.35625
PS108300	PS175780	2.07351	4.08487	2.27723	4.08487
PS121200	PS220400	1.87379	1.37699	4.04711	4.04711
PS601144	PS608567	4.00954	1.48062	2.16485	4.00954
PS608567	PS609620	3.96429	1.50656	2.41482	3.96429
PS220400	PS608567	3.89395	1.545	2.97601	3.89395
PS113900	PS601144	3.89137	1.09979	1.71441	3.89137
PS113900	PS609620	3.79759	1.47239	1.98137	3.79759
PS608567	PS615040	3.5253	1.56813	3.78386	3.78386
PS608583	PS609620	3.77996	1.39302	2.08716	3.77996
PS601764	PS613280	1.57361	0.77825	3.76754	3.76754
PS601764	PS608567	3.38947	1.54862	3.75065	3.75065
PS211400	PS615040	2.33532	2.13751	3.75044	3.75044
PS220400	PS608583	3.73241	1.40832	2.37058	3.73241
PS211400	PS601764	2.25016	1.76668	3.70609	3.70609
PS608567	PS608583	3.70115	1.45145	2.1928	3.70115
PS113900	PS608583	3.68112	1.13697	1.83366	3.68112
PS113900	PS220400	3.67955	1.25202	2.38811	3.67955
PS132400	PS153840	0.52247	1.07821	3.67795	3.67795
PS132400	PS175780	1.26103	2.1287	3.67795	3.67795
PS121210	PS615040	3.24818	2.0247	3.67615	3.67615
PS604233	PS615040	2.93534	1.67503	3.67615	3.67615
PS121200	PS615040	1.34351	1.40751	3.65339	3.65339
PS121210	PS601764	3.11785	2.31641	3.60704	3.60704
PS601764	PS604233	2.93595	2.2658	3.60704	3.60704
PS601144	PS609620	3.59076	1.40067	2.18291	3.59076
PS175780	PS228520	1.96411	3.56915	1.81442	3.56915
PS121200	PS601764	1.54007	3.07801	3.56135	3.56135
PS601144	PS608583	3.45664	1.3635	3.52594	3.52594
PS613280	PS615040	1.54856	0.83314	3.50606	3.50606
PS158810	PS254090	3.01783	3.49651	0.44408	3.49651
PS220400	PS601144	3.48105	1.41947	2.51252	3.48105
PS192500	PS609620	3.4621	1.44191	2.30047	3.4621
PS192500	PS608583	3.40637	1.37194	2.69699	3.40637
PS220400	PS615040	3.05799	1.44726	3.40122	3.40122
PS104290	PS608567	3.39515	1.08165	1.32133	3.39515
PS121210	PS608567	3.38155	1.69584	3.09811	3.38155
PS121200	PS160120	1.1682	1.83311	3.3525	3.3525
PS192500	PS220400	3.34221	1.51669	2.39972	3.34221
PS160120	PS615040	2.18961	1.07932	3.3342	3.3342
PS113900	PS615040	3.32246	1.43351	3.0219	3.32246
PS104290	PS609620	3.3074	1.22975	2.06796	3.3074
PS160120	PS220400	2.29985	1.1998	3.30233	3.30233
PS604233	PS608567	3.29408	1.45601	3.15344	3.29408
PS220400	PS601764	2.89265	1.43515	3.26343	3.26343
PS132400	PS193900	0.96357	0.18808	3.2589	3.2589
PS113900	PS192500	3.25632	1.18266	1.62441	3.25632
PS104290	PS113900	3.25289	1.02005	1.136	3.25289
PS185800	PS186500	3.24361	1.96867	2.79446	3.24361
PS108800	PS614429	3.23376	1.05134	3.06554	3.23376
PS192500	PS608567	3.23057	1.428	2.06882	3.23057
PS108300	PS158810	2.18329	3.22876	0.23815	3.22876
PS108300	PS254090	1.63618	3.22876	0.23815	3.22876
PS160120	PS601764	2.05666	1.88067	3.21214	3.21214
PS606215	PS614429	3.19005	1.17968	2.21536	3.19005
PS104290	PS220400	3.18889	1.08392	1.75264	3.18889
PS211400	PS608567	2.28268	1.48866	3.18693	3.18693
PS609620	PS615040	3.18324	1.41772	2.51284	3.18324
PS192500	PS601144	3.16097	1.57522	2.78187	3.16097
PS211400	PS604233	1.95663	1.60907	3.15437	3.15437
PS121200	PS609620	1.75875	1.35698	3.14564	3.14564
PS113900	PS604233	3.14169	1.36133	2.55167	3.14169
PS121200	PS613280	1.92419	0.67554	3.13962	3.13962
PS113900	PS601764	3.13959	1.44718	2.7347	3.13959
PS113900	PS121210	3.13655	1.56851	2.46867	3.13655
PS160120	PS613280	1.1653	0.52536	3.1206	3.1206
PS604772	PS608567	3.11806	1.04953	0.20383	3.11806
PS113900	PS604772	3.09124	1.31561	0.25318	3.09124
PS121210	PS211400	2.25779	1.87231	3.07137	3.07137
PS121200	PS608567	1.36755	1.44639	3.05906	3.05906
PS210200	PS276700	3.05381	0.71775	0.87801	3.05381
PS127550	PS612199	3.03523	1.32683	1.09288	3.03523
PS601144	PS615040	3.02153	1.39725	2.32488	3.02153
PS121210	PS604233	2.96068	2.01733	3.01194	3.01194
PS214150	PS601675	3.0113	2.34126	0.65273	3.0113
PS121210	PS160120	2.13781	1.60466	3.00951	3.00951
PS192500	PS604772	2.99843	1.56051	0.96961	2.99843
